City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,description
210,Poronaysk,49.2167,143.1167,18.93,76,33,9.48,RU,2022-02-14 04:11:34,scattered clouds
211,Laguna,38.421,-121.4238,65.25,68,0,3.44,US,2022-02-14 04:11:34,clear sky
212,Imbituba,-28.24,-48.6703,71.49,93,47,2.62,BR,2022-02-14 04:11:35,scattered clouds
213,Pierre,44.3683,-100.351,40.12,53,0,13.8,US,2022-02-14 04:07:13,clear sky
214,Camana,-16.6228,-72.7111,70.47,86,25,6.98,PE,2022-02-14 04:11:35,scattered clouds
215,Makakilo City,21.3469,-158.0858,75.56,54,0,12.66,US,2022-02-14 04:11:36,clear sky
216,Manjacaze,-24.7117,33.8828,71.78,95,6,1.05,MZ,2022-02-14 04:11:36,clear sky
217,Rosarito,32.3333,-117.0333,72.52,34,0,5.19,MX,2022-02-14 04:11:36,clear sky
218,Kalcheva,45.7374,28.8141,29.46,88,79,5.5,UA,2022-02-14 04:11:37,broken clouds
219,Arraial Do Cabo,-22.9661,-42.0278,75.07,93,9,15.28,BR,2022-02-14 04:11:13,clear sky
220,Sabang,5.8933,95.3214,82.54,72,67,11.65,ID,2022-02-14 04:11:37,broken clouds
221,Otawara,36.8667,140.0333,43.48,46,99,2.68,JP,2022-02-14 04:11:38,overcast clouds
222,Upernavik,72.7868,-56.1549,3.83,92,100,29.15,GL,2022-02-14 04:08:40,light snow
223,La Ronge,55.1001,-105.2842,-12.32,94,17,4.47,CA,2022-02-14 04:08:39,few clouds
224,Kropotkin,45.4375,40.5756,31.77,68,20,11.54,RU,2022-02-14 04:11:39,few clouds
225,Hanyang,32.1371,105.5126,45.73,67,100,1.54,CN,2022-02-14 04:11:39,overcast clouds
226,Ostrovnoy,68.0531,39.5131,20.77,85,100,26.62,RU,2022-02-14 04:11:39,overcast clouds
227,Codrington,-38.2667,141.9667,71.42,60,19,11.79,AU,2022-02-14 04:11:40,few clouds
228,Peterhead,57.5058,-1.7981,41.56,88,100,14.14,GB,2022-02-14 04:12:40,overcast clouds
229,Arlit,18.7369,7.3853,63.43,13,0,4.88,NE,2022-02-14 04:12:41,clear sky
230,Yulara,-25.2406,130.9889,96.64,8,4,12.66,AU,2022-02-14 04:12:41,clear sky
231,Boende,-0.2167,20.8667,71.67,90,100,1.25,CD,2022-02-14 04:12:42,overcast clouds
232,Matay,28.419,30.7792,49.66,81,4,12.8,EG,2022-02-14 04:12:42,clear sky
233,Henties Bay,-22.116,14.2845,71.85,89,82,8.25,NA,2022-02-14 04:12:43,broken clouds
234,Tezu,27.9167,96.1667,71.13,21,0,3.69,IN,2022-02-14 04:12:43,clear sky
235,Puerto Del Rosario,28.5004,-13.8627,60.55,82,5,8.25,ES,2022-02-14 04:12:43,clear sky
236,Guaira,-20.3183,-48.3106,68.68,94,9,3.78,BR,2022-02-14 04:12:44,clear sky
237,San Patricio,28.017,-97.5169,55.24,46,96,7.43,US,2022-02-14 04:09:49,overcast clouds
238,Tibati,6.4667,12.6333,64.99,22,100,4.03,CM,2022-02-14 04:12:45,overcast clouds
239,Saskylakh,71.9167,114.0833,-15.03,95,21,4.0,RU,2022-02-14 04:12:45,few clouds
240,Kahului,20.8947,-156.47,75.22,71,0,11.5,US,2022-02-14 04:12:45,clear sky
241,Coos Bay,43.3665,-124.2179,51.85,95,100,8.05,US,2022-02-14 04:12:46,overcast clouds
242,Longyearbyen,78.2186,15.6401,15.64,92,75,2.3,SJ,2022-02-14 04:12:46,light snow
243,Fuxin,42.0156,121.6589,13.42,64,96,14.38,CN,2022-02-14 04:12:47,overcast clouds
244,Agadir,30.4202,-9.5982,52.25,68,0,5.64,MA,2022-02-14 04:12:47,clear sky
245,Rio Gallegos,-51.6226,-69.2181,41.05,87,0,8.05,AR,2022-02-14 04:10:28,clear sky
246,Camopi,3.1655,-52.3158,72.1,100,100,1.59,GF,2022-02-14 04:12:48,overcast clouds
247,Sola,-13.8833,167.55,82.65,76,82,16.13,VU,2022-02-14 04:12:49,broken clouds
248,La Palma,33.8464,-118.0467,75.11,30,0,5.75,US,2022-02-14 04:12:49,clear sky
249,Turkan,40.3639,50.215,39.38,75,75,4.61,AZ,2022-02-14 04:12:49,broken clouds
250,Coari,-4.085,-63.1414,73.24,98,100,1.57,BR,2022-02-14 04:12:50,overcast clouds
251,Mazatlan,23.2167,-106.4167,73.9,61,75,1.01,MX,2022-02-14 04:12:50,broken clouds
252,Grand-Lahou,5.1367,-5.0242,78.26,86,55,6.69,CI,2022-02-14 04:12:51,broken clouds
253,Burns Lake,54.2331,-125.7533,32.58,99,100,2.77,CA,2022-02-14 04:12:51,snow
254,Aberdeen,57.1437,-2.0981,41.76,99,75,11.5,GB,2022-02-14 04:12:52,broken clouds
255,Port Augusta,-32.5,137.7667,104.7,19,93,6.08,AU,2022-02-14 04:12:52,overcast clouds
256,Nainpur,22.4333,80.1167,70.3,19,11,3.13,IN,2022-02-14 04:09:08,few clouds
257,Shorkot,31.9099,70.8774,62.17,34,96,2.04,PK,2022-02-14 04:12:53,overcast clouds
258,Hofn,64.2539,-15.2082,22.69,67,54,8.34,IS,2022-02-14 04:12:53,broken clouds
259,Saint-Philippe,-21.3585,55.7679,80.19,80,31,11.05,RE,2022-02-14 04:12:53,scattered clouds
