City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Cheney,47.4874,-117.5758,45.99,68,75,5.75,US,2022-02-14 01:02:59
249,Kaitangata,-46.2817,169.8464,60.93,65,97,6.38,NZ,2022-02-14 01:02:59
250,Oildale,35.4197,-119.0195,80.62,16,0,5.75,US,2022-02-14 01:03:00
251,Fernandez,-27.9204,-63.8935,72.03,35,1,8.03,AR,2022-02-14 01:03:00
252,Bathsheba,13.2167,-59.5167,77.27,72,9,18.43,BB,2022-02-14 01:03:01
253,Grand Gaube,-20.0064,57.6608,81.37,79,100,5.99,MU,2022-02-14 01:03:02
254,Geraldton,-28.7667,114.6,81.01,69,0,4.61,AU,2022-02-14 01:03:02
255,Fortuna,40.5982,-124.1573,65.48,94,100,5.75,US,2022-02-14 01:03:02
256,Melilla,35.2937,-2.9383,50.38,76,0,1.14,ES,2022-02-14 01:03:03
257,Road Town,18.4167,-64.6167,75.24,88,75,9.22,VG,2022-02-14 01:03:03
258,Birao,10.2849,22.7882,69.58,13,93,8.12,CF,2022-02-14 01:03:04
259,Carutapera,-1.195,-46.02,76.91,90,100,6.67,BR,2022-02-14 01:03:04
260,Diffa,13.3154,12.6113,68.65,13,13,8.72,NE,2022-02-14 01:03:05
261,Lima,-12.0432,-77.0282,70.39,82,87,8.19,PE,2022-02-14 01:00:49
262,Tuatapere,-46.1333,167.6833,65.16,50,100,4.65,NZ,2022-02-14 01:03:06
263,Suzun,53.7841,82.3116,21.45,94,100,10.31,RU,2022-02-14 01:03:06
264,Kiruna,67.8557,20.2251,2.32,85,5,5.75,SE,2022-02-14 01:03:07
265,Clyde,41.3042,-82.9752,19.11,78,100,8.68,US,2022-02-14 01:03:07
266,Parana,-31.732,-60.5238,69.3,36,0,4.88,AR,2022-02-14 01:03:07
267,Makakilo City,21.3469,-158.0858,79.12,49,75,11.5,US,2022-02-14 01:03:08
268,Ulverstone,-41.15,146.1667,79.21,57,100,5.91,AU,2022-02-14 01:03:08
269,Broken Hill,-31.95,141.4333,92.25,21,95,11.5,AU,2022-02-14 01:03:09
270,Gizo,-8.103,156.8419,84.42,68,98,6.67,SB,2022-02-14 01:03:10
271,Yumen,40.2833,97.2,22.78,51,4,11.1,CN,2022-02-14 01:03:10
272,Fare,-16.7,-151.0167,81.1,74,100,13.91,PF,2022-02-14 01:03:10
273,Vardo,70.3705,31.1107,23.9,90,100,18.16,NO,2022-02-14 01:04:11
274,Gejiu,23.306,103.1635,41.56,86,42,3.96,CN,2022-02-14 01:04:11
275,Cairns,-16.9167,145.7667,88.07,73,75,21.85,AU,2022-02-14 01:04:12
276,Sola,-13.8833,167.55,82.67,76,100,19.3,VU,2022-02-14 01:04:12
277,Saint Anthony,45.0205,-93.218,8.44,76,100,8.05,US,2022-02-14 01:04:13
278,Dunmore Town,25.5,-76.65,76.53,82,100,9.86,BS,2022-02-14 01:04:14
279,Juneau,58.3019,-134.4197,37.45,94,100,0.0,US,2022-02-14 01:04:14
280,Meulaboh,4.1363,96.1285,77.23,86,96,4.12,ID,2022-02-14 01:04:15
281,Suntar,62.1444,117.6319,-13.09,99,100,1.39,RU,2022-02-14 01:04:15
282,Narsaq,60.9167,-46.05,19.62,96,100,6.8,GL,2022-02-14 01:03:11
283,Canutama,-6.5339,-64.3831,72.16,99,100,0.65,BR,2022-02-14 01:04:16
